Symbol	mouse_inviro_colon_Untr_24hr_1	mouse_inviro_colon_Untr_24hr_2	mouse_inviro_colon_Untr_24hr_3	mouse_inviro_colon_Untr_72hr_1	mouse_inviro_colon_Untr_72hr_2	mouse_inviro_colon_Untr_72hr_3	mouse_inviro_colon_X1000_24hr_1	mouse_inviro_colon_X1000_24hr_2	mouse_inviro_colon_X1000_24hr_3	mouse_inviro_colon_X1000_72hr_1	mouse_inviro_colon_X1000_72hr_2	mouse_inviro_colon_X1000_72hr_3
CCM2	533.863346857721	325.296776975523	343.11535012219	498.024723603574	672.491807862916	559.663147076599	108.881307274763	91.1628108599165	126.557231289042	169.757031863916	313.896736980819	130.944517849458
CCN1	874.505375147634	290.979754349534	252.82183693214	130.509623585842	110.019109670825	172.837148361891	107.996093394481	151.938018099861	136.946257738142	123.96730616378	189.841739132112	148.699706710402
CCN2	52.2413194646295	32.8871466832397	18.05870263801	12.5289238642409	8.25143322531186	19.2041275957656	0	8.21286584323572	0	24.5700967171457	24.4350753338362	18.8648881647524
CCNA1	0	6.43444174237299	3.611740527602	4.17630795474695	11.0019109670825	7.31585813172024	0	0	0	0	0	0
CCNA2	3710.56495101512	3281.56528861022	2820.76935205716	3397.42652118665	2810.98825208957	3788.70002996462	57.5389022183708	41.0643292161786	99.1679797414133	32.3878547635102	30.0739388724138	6.6581958228538
CCNB1	1822.72110515632	1481.35147668854	1497.06644869103	1904.39642736461	1930.83537472297	1915.84034824424	36.2937690915877	92.8053840285637	17.9446820484462	4.4672903122083	3.75924235905172	12.2066923418986
CCNB2	2207.73247326551	1442.7448262343	1513.31928106524	1960.77658475369	2009.22399036344	2054.84165274692	54.8832605775229	32.8514633729429	40.6116488464835	48.0233708562393	43.2312871290948	62.1431610133021
CCNC	118.795329193541	362.473551487012	282.618696284856	162.876010235131	103.142915316398	160.948878897845	634.698352162644	727.659913710685	429.727912212791	419.925289347581	315.776358160345	661.380785070144
CCND1	3034.2903360278	1525.67763091377	1581.03941595777	1670.52318189878	2479.55568420621	1751.23354028053	4783.69580904732	4383.2065005349	3125.2080472794	4370.12674791777	4244.18462336939	3612.07123389819
CCND2	9171.57192135195	3438.1367043413	2462.30410469266	4331.87542606128	3700.76780155237	4123.40053949082	8480.34897310758	8362.34000158261	8196.94186834025	6101.20174389849	6881.29313824418	5963.52405866939
CCND3	1186.52202290898	1799.49887395031	1748.98535049127	1694.53695263858	2661.08721516307	1772.26663240923	1047.20802037435	1200.72098628106	1074.79200900694	1677.46751223422	2054.42594922177	1266.16690564603
CCNDBP1	534.578981370935	494.737076191345	546.275754799802	381.08810087066	474.457410455432	384.082551915313	732.957092874016	785.149974613335	706.45379853883	1373.69177100405	834.551803709482	1327.20036735552
CCNE1	527.422636238794	278.825808836163	325.95958261608	240.13770739795	279.173490789718	290.80536073588	7.96692492254365	15.6044451021479	3.77782779967289	61.4252417928642	65.7867412834051	47.7170700637856
CCNE2	0	58.6249136527316	37.0203404079205	74.1294661967584	55.0095548354124	63.0992763860871	22.1303470070657	30.3876036199722	0	23.4532741390936	26.3146965133621	43.2782728485497
CCNF	470.171875181666	637.7246704663	781.941824225832	1177.71884323864	1379.36458749797	1308.62412331146	81.4396769860018	56.6687743183265	150.168655036997	240.116854281196	231.193405081681	219.720462154175
CCNG1	3447.21145015233	2264.20855534392	1555.75723226456	2109.03551714721	1947.3382411736	1958.82101476809	13276.4377764789	14508.8487986602	9973.46539113642	12957.3755505602	10416.8605769323	13372.9863102019
CCNG2	251.903348651364	163.720795444824	96.6140591133534	158.699702280384	105.893393058169	148.146127167335	143.404648605786	149.47415834689	119.001575689696	1005.14032024687	781.922410682758	1034.23975114996
CCNH	289.116343338498	284.545312607161	250.113031536438	266.239632115118	356.186867559295	289.890878469415	386.838465683508	492.771950594143	403.283117615081	400.939305520695	268.785828672198	388.394756333138
CCNI	2121.1406971666	2166.26205326557	1604.51572938719	1915.88127424017	2329.65464727971	1883.83346891796	770.136075845886	818.822724570602	793.343837931306	930.31320751738	885.301575556681	833.384177160534
CCNJ	104.482638929259	87.9373704790975	83.9729672667464	141.994470461396	93.516243220201	135.343375436824	232.811250514331	229.9602436106	87.8344963423946	205.495354361582	161.647421439224	167.564594875154
CCNK	709.90943710839	415.378961368745	482.167360434867	500.112877580948	906.282415913419	501.136282022837	454.999934465271	560.938737093	753.676646034741	597.500079257861	712.376427040301	498.254987410226
CCNL1	1307.46425564217	821.463729109618	602.257732977633	584.683113664574	416.697377878249	699.578933845748	1072.87922290255	1054.53197427147	877.400506474028	973.869288061411	1084.54142058642	943.244408237622
CCNL2	4379.68322087031	3360.20846546145	3421.22121477099	3088.37973253537	3374.83618915255	3261.95824448076	4024.18229976483	3414.08833103309	3962.94136185686	3544.79486273729	3994.19500649245	3397.89926826306
CCNO	0	11.4390075419964	9.93228645090549	9.39669289818065	8.25143322531186	7.31585813172024	0	0	0	0	0	4.43879721523587
CCNQ	460.868626509882	476.148688935601	447.855825422648	517.862186388622	495.085993518711	497.478352956976	411.624454331422	542.049145653558	571.396454700524	322.76172505705	359.007645289439	271.876329433197
CCNT1	562.488727386285	468.999309221853	336.794804198886	617.049500313862	477.207888197202	553.261771211343	847.149683430475	1024.96565723582	724.398480587276	881.173014083088	915.375514429094	999.839072731879
CCNT2	643.355427379479	803.590279825248	562.528587174011	926.096288965137	583.101281255371	966.607755653537	2372.37319915744	1736.19983926003	2029.63798537426	2696.00970341771	2755.52464918491	2303.73575470741
CCNY	1467.76638660213	1276.87921687535	1044.69594760888	1104.63345403057	792.137589629938	1014.16083350972	1164.05625257166	1352.65900438092	1354.35126618273	900.158997909973	748.089229451293	815.62898829959
CCNYL1	286.969439798855	263.097173465918	229.345523502727	206.727243759974	177.405814344205	164.606807963705	313.36571362005	322.765627639164	314.504164322768	216.663580142103	234.952647440733	247.4629447494
CCP110	234.012485821012	250.228289981172	179.684091248199	181.669396031492	99.0171987037423	226.791602083328	1830.62230442447	1732.09340633841	1197.57141249631	807.462723931651	830.792561350431	1070.85982817565
CCPG1	309.869744221707	138.697966446707	127.31385359797	209.859474726034	195.283919665714	144.488198101475	109.766521155046	97.7331035345051	128.446145188878	37.9719676537706	48.8701506676724	90.9953429123353
CCRL2	0	9.29419362787209	15.3498972423085	6.26446193212043	19.2533441923943	10.0593049311153	2.65564164084788	3.28514633729429	0	18.9859838268853	39.4720447700431	8.87759443047173
CCS	145.989440695677	180.879306757818	203.160404677612	241.181784386637	336.933523366901	226.791602083328	112.422162795894	119.907841311242	85.9455824425582	203.261709205478	140.97158846444	186.429483039906
CCSAP	158.870861933531	113.675137448589	80.3612267391444	110.672160800794	75.638137898692	90.533744380038	84.9805325071323	118.265268142594	74.6120990435395	112.79908038326	176.684390875431	139.82211227993
CCSER1	165.311572552458	256.662731723545	248.307161272637	339.32502132319	207.661069503682	291.719843002345	239.892961556592	266.918139905161	370.227124367943	328.34583794731	261.267343954095	335.129189750308
CCSER2	634.767813220909	470.429185164603	419.864836333732	377.955869904599	281.923968531488	419.747360307449	775.447359127582	776.115822185776	705.509341588912	1655.13106067318	1494.29883772306	1737.78910976484
CCT2	7091.22239143855	4287.48301433453	5985.55698936841	5552.40142583607	7881.49396904371	5077.20554341385	6546.15664469003	6438.06553451248	5567.57371976792	6579.20180730478	5018.58854933405	8290.56349875679
CCT3	4303.82596246962	3036.34156442867	3539.50571704996	4268.18672975139	5637.10413175888	4330.07353171192	3467.38276906705	3809.12717809273	3684.32656163098	3860.85565232603	3308.13327596552	4961.46558732989
