Symbol	human_si_Untr._24h_1	human_si_Untr._24h_2	human_si_Untr._24h_3	human_si_Untr._72h_1	human_si_Untr._72h_2	human_si_Untr._72h_3	human_si_X1000uM_24h_1	human_si_X1000uM_24h_2	human_si_X1000uM_24h_3	human_si_X1000uM_72h_1	human_si_X1000uM_72h_2	human_si_X1000uM_72h_3
P2RY2	8.55536632	8.796151937	7.848810532	8.211093609	8.342323923	8.546281304	8.611027664	8.349244528	8.613343009	7.043764142	6.726321289	6.951861728
P3H1	8.636664279	8.676956428	8.853362845	9.629105481	9.666798539	9.195825924	7.989847607	8.552177038	8.33177079	8.589855977	8.566554101	8.725965732
P3H2	5.622627207	5.467026739	5.490192603	5.545497623	5.536404141	5.229741062	6.36141666	6.219819623	6.310638943	6.909653713	6.828632398	6.937927679
P3H3	5.992766238	5.893258698	6.044273591	6.369296947	6.595699066	6.361662285	5.630106784	5.369013222	5.786995291	6.202065041	5.920101692	5.794109822
P3H4	6.587384306	6.588334065	6.509992941	6.711325281	6.577987459	6.728282902	6.432700602	6.821654953	6.790283743	5.887105313	6.387939001	6.231431417
P4HA1	10.93119581	10.22859095	9.581909014	11.36461399	10.8280822	10.75127981	9.747420809	9.825264921	10.06174766	10.62136899	10.49174448	10.53255414
P4HA2	11.43385756	10.66986979	10.39329347	11.26682438	10.76660206	10.82560481	11.02083535	11.13161447	11.05235004	11.70612466	11.67528188	11.60584608
P4HB	13.28621856	13.26281915	13.12637722	14.02163744	13.89855482	13.75630104	13.25090223	13.48539187	13.30082577	14.17103642	14.09795293	13.76923203
P4HTM	8.863611454	9.170962642	9.198710365	9.530931797	9.840155794	9.765722701	8.867257656	9.140993926	8.973761953	8.657452448	8.918145019	8.990764669
PA2G4	9.079026163	9.459646762	9.755062367	9.127899913	8.862764894	8.977684536	10.07583996	9.873650538	9.953392115	9.428668897	9.497038551	9.316832852
PAAF1	7.301904923	6.948994659	6.784520789	6.98228275	6.595699066	6.211118545	7.220889008	7.254252499	6.844487193	6.475501115	6.660896323	6.587476748
PABPC1	12.62767471	13.08299124	12.80077217	13.23068485	13.47458327	13.93752996	12.8124113	13.09179958	12.96252885	13.2652869	12.91435013	12.84809817
PABPC1L	8.206211158	8.458838731	9.06018642	8.300015763	8.597154627	8.684070313	7.994264119	8.037977617	7.569047909	7.854115009	7.752520646	7.475352957
PABPC4	10.44903791	10.63617066	10.75016536	10.80697896	10.86564885	10.77730173	11.42350069	11.6347733	11.48849056	11.266726	11.18511492	11.35973811
PABPN1	10.22374077	10.18668742	10.39553708	10.28423644	10.54542182	10.25113186	10.55526328	10.82228685	10.27103882	10.25035609	10.65937542	10.47541509
