Symbol	human_colon_Untr._24h_1	human_colon_Untr._24h_2	human_colon_Untr._24h_3	human_colon_Untr._72h_1	human_colon_Untr._72h_2	human_colon_Untr._72h_3	human_colon_X1000uM_24h_1	human_colon_X1000uM_24h_2	human_colon_X1000uM_24h_3	human_colon_X1000uM_72h_1	human_colon_X1000uM_72h_2	human_colon_X1000uM_72h_3
HSBP1L1	7.795079474	7.701400864	7.795375875	8.000001823	7.822795336	7.489308494	8.686188617	8.803254982	8.62210254	8.642814123	8.85874187	8.613906143
HSCB	6.053035322	5.93141416	5.945974399	6.021369642	6.140110918	6.111377705	6.12193009	6.598464958	6.080421764	6.002489985	5.810939892	5.859159072
HSD11B1L	6.921374435	6.456939527	6.47437297	6.846084228	6.803349925	6.66015885	6.098679158	5.942557659	6.098261134	6.072251385	5.661759489	6.12228985
HSD11B2	7.224492753	7.149302088	6.544981524	6.210144626	6.53477842	6.876331671	6.807386195	6.475446467	7.271715289	7.389149595	7.059713859	7.68051191
HSD17B1	5.500707529	5.62442178	5.749157463	5.930957538	6.09941347	5.997381656	5.809632091	5.634046531	5.603656483	5.469643712	5.165563051	5.930340578
HSD17B10	8.194103896	8.103639881	8.146717834	7.784435785	7.925369859	8.008218542	8.291836616	8.086428523	8.096601192	8.577060095	8.795748301	8.730823893
HSD17B11	7.746304087	7.999790802	7.642150955	7.614170278	7.46154817	7.808449844	8.610874935	8.71653024	8.69822093	9.540484342	9.389644633	9.421778155
HSD17B12	10.28327488	10.47872903	10.46633595	10.01897577	10.09915899	10.15226874	9.76188652	9.781770583	9.781018782	9.491819246	9.212189048	9.163047732
HSD17B2	8.409268143	8.836954761	8.17932827	7.335225634	7.06882039	7.417961624	6.677320761	6.526008615	7.138824514	5.431231582	5.879059763	5.930340578
HSD17B4	8.623492636	8.75095254	8.648714963	8.479294501	8.304723498	8.219663759	8.489943432	8.49526369	8.355658433	8.876308067	8.763185932	8.744508413
HSD17B7	6.532691479	6.657653744	6.644422399	6.184818379	6.377426271	6.678052974	6.1892565	6.188999702	5.776779159	5.765970172	5.285944203	5.445809613
HSD17B8	7.685479823	7.679099886	7.544966929	7.812246983	7.756275624	7.612975989	7.261952083	6.644702637	7.163208571	5.214036022	5.426478946	5.723501508
HSD3B7	6.484494542	6.154254257	6.207623498	6.396819536	6.360619467	6.547546817	6.050863035	6.251500777	5.821891384	5.706439148	6.367232607	6.276016436
HSDL1	6.27214337	6.527212824	6.727098289	6.429064098	6.273217287	6.138347899	5.506791116	5.980853245	6.043972743	6.733321345	6.663354185	6.276016436
HSDL2	9.130471601	8.921257318	8.75810751	9.015183844	8.84939374	8.914391622	8.11203576	8.036630037	8.16190208	8.006235596	7.921835805	7.896990099
HSF1	8.72723534	8.512424477	8.656443812	8.734300634	8.960500951	8.7675799	8.637685885	8.019637782	8.678870223	7.520280187	7.703678093	7.834141314
HSF2	6.24302463	5.817915021	5.890204514	6.295095227	6.426606992	6.190647222	6.372553711	6.08917982	6.368988915	6.677217691	6.822913605	6.559696968
HSF4	5.869497935	5.658990307	5.485901303	5.991954629	5.991569307	5.967191854	6.074996225	5.980853245	5.821891384	6.618708457	6.575992302	6.820617772
HSH2D	8.119656823	8.041076867	8.306103487	8.289489471	8.386711437	8.062417979	8.084403554	8.070020823	8.185642255	7.834971315	8.420834014	8.02623269
HSP90AA1	11.07331404	11.10861134	10.98747443	10.84478731	10.70280607	10.74270203	11.56454672	11.82503622	11.52116017	12.49544108	12.51578497	12.39476142
HSP90AB1	12.79052202	12.85455789	12.86952334	12.90738141	13.01626073	12.96467495	12.86425157	13.03610231	12.91561493	13.20018013	13.39959449	13.28768355
HSP90B1	10.69578674	10.83656586	10.77060015	10.83133727	10.85276446	10.75299601	10.98290738	10.93409523	10.69601899	11.44659866	11.59453619	11.46424374
HSPA12A	8.127278091	8.041076867	8.1971295	8.237837501	8.000350027	8.254966993	7.430585198	7.136438951	7.737740918	7.480590963	7.230331488	7.63690954
HSPA13	6.24302463	5.551941482	6.131478512	5.991954629	5.873521984	6.055663557	6.926219659	7.343429156	7.071644904	7.472517957	7.656920626	7.407829823
HSPA14	6.322018255	5.904851966	6.2247264225	6.074191718	6.167973722	5.87379633	6.0665161035	6.363473622	6.123825191	6.189959557	6.218849712	6.170946318
HSPA1A	9.478189159	9.254336026	9.196361428	9.260185807	9.162212134	9.074142516	9.114538006	8.793319342	8.610474928	8.452174341	8.715756204	8.489341571
HSPA1B	10.38655459	10.53839791	10.3765352	10.75859034	10.74682314	10.60059235	10.58448967	10.34235396	10.46659577	10.78221421	10.80914686	10.84625315
HSPA1L	5.256368601	5.024984315	4.864588577	5.219320157	5.223898027	4.943862987	5.139661419	5.279841659	5.398859729	5.391365282	5.426478946	5.065851511
HSPA2	7.104770265	6.999915292	7.125134832	7.089157692	7.230324182	7.342823353	5.426681884	5.819946551	5.987243762	5.610994151	5.943573992	5.859159072
HSPA4	8.919040737	8.873225732	8.908020328	8.85900959	8.668052281	8.700981612	8.95328028	9.023190158	8.673293274	8.909318265	8.824963136	8.907437964
HSPA4L	6.810090424	6.762362775	6.590080327	6.635382623	6.326351367	6.424675053	7.82174608	8.126643402	8.041259527	7.682821392	7.906956118	7.763903027
HSPA5	11.49324283	11.51672245	11.69296715	11.7763706	11.77036174	11.70366395	12.30957061	12.12263598	12.03438094	11.84581221	11.86384028	11.8337313
HSPA8	12.64041579	12.42178446	12.65523007	12.36102501	12.36231235	12.35556517	13.07157845	13.24205464	13.01579802	13.37838273	13.42558138	13.35862134
